,zip1,2010modify_cnt,2011modify_cnt,2012modify_cnt,2013modify_cnt,2014modify_cnt,2015modify_cnt,2016modify_cnt,2017modify_cnt,2018modify_cnt,2019modify_cnt,2010install_cnt,2011install_cnt,2012install_cnt,2013install_cnt,2014install_cnt,2015install_cnt,2016install_cnt,2017install_cnt,2018install_cnt,2019install_cnt,2010renovate_cnt,2011renovate_cnt,2012renovate_cnt,2013renovate_cnt,2015renovate_cnt,2016renovate_cnt,2017renovate_cnt,2018renovate_cnt,2010convert_cnt,2011convert_cnt,2012convert_cnt,2013convert_cnt,2014convert_cnt,2015convert_cnt,2016convert_cnt,2017convert_cnt,2018convert_cnt,2019convert_cnt,2010restore_cnt,2011restore_cnt,2012restore_cnt,2013restore_cnt,2014restore_cnt,2015restore_cnt,2016restore_cnt,2017restore_cnt,2018restore_cnt,2019restore_cnt,2010new_cnt,2011new_cnt,2012new_cnt,2013new_cnt,2014new_cnt,2015new_cnt,2016new_cnt,2017new_cnt,2018new_cnt,2019new_cnt,2010remove_cnt,2011remove_cnt,2012remove_cnt,2013remove_cnt,2014remove_cnt,2015remove_cnt,2016remove_cnt,2017remove_cnt,2018remove_cnt,2019remove_cnt,2010demolition_cnt,2011demolition_cnt,2012demolition_cnt,2013demolition_cnt,2014demolition_cnt,2015demolition_cnt,2016demolition_cnt,2017demolition_cnt,2018demolition_cnt,2019demolition_cnt,2010no_change_cnt,2011no_change_cnt,2012no_change_cnt,2013no_change_cnt,2014no_change_cnt,2015no_change_cnt,2016no_change_cnt,2017no_change_cnt,2018no_change_cnt,2019no_change_cnt
0,10110,313.0,409.0,418.0,373.0,437.0,499.0,519.0,483.0,441.0,265.0,419.0,384.0,431.0,399.0,425.0,498.0,456.0,376.0,265.0,150.0,,,1.0,,,,,,2.0,1.0,2.0,7.0,5.0,8.0,4.0,3.0,4.0,1.0,11.0,4.0,11.0,5.0,6.0,4.0,5.0,8.0,3.0,3.0,152.0,125.0,144.0,162.0,168.0,166.0,165.0,164.0,154.0,75.0,143.0,133.0,146.0,146.0,181.0,189.0,156.0,164.0,122.0,70.0,76.0,79.0,97.0,97.0,72.0,93.0,93.0,68.0,56.0,38.0,940.0,1042.0,1114.0,990.0,1113.0,1228.0,1288.0,1124.0,951.0,516.0
1,11364,,,,4.0,1.0,10.0,4.0,4.0,,1.0,22.0,45.0,29.0,33.0,43.0,37.0,48.0,41.0,13.0,10.0,,,,1.0,,,,,5.0,5.0,7.0,9.0,7.0,6.0,7.0,5.0,,1.0,1.0,,1.0,2.0,1.0,,,2.0,,1.0,28.0,50.0,46.0,38.0,39.0,41.0,44.0,34.0,11.0,3.0,11.0,11.0,11.0,8.0,12.0,15.0,21.0,10.0,1.0,3.0,6.0,7.0,4.0,5.0,7.0,7.0,5.0,9.0,,,37.0,41.0,40.0,64.0,74.0,81.0,83.0,64.0,22.0,14.0
2,10012,132.0,165.0,139.0,184.0,189.0,182.0,198.0,186.0,246.0,104.0,513.0,587.0,547.0,617.0,588.0,646.0,655.0,593.0,303.0,145.0,,,,1.0,,,,,18.0,18.0,11.0,14.0,16.0,13.0,6.0,12.0,4.0,,17.0,22.0,30.0,13.0,14.0,12.0,17.0,18.0,14.0,6.0,236.0,277.0,271.0,281.0,266.0,327.0,274.0,252.0,216.0,96.0,133.0,144.0,142.0,178.0,160.0,174.0,206.0,163.0,144.0,84.0,61.0,58.0,62.0,66.0,48.0,69.0,71.0,55.0,48.0,36.0,996.0,1198.0,1116.0,1222.0,1226.0,1287.0,1267.0,1178.0,884.0,450.0
3,11355,19.0,30.0,14.0,32.0,33.0,71.0,45.0,39.0,41.0,12.0,202.0,187.0,192.0,178.0,188.0,237.0,225.0,219.0,95.0,44.0,,1.0,,,,,,,26.0,32.0,32.0,30.0,24.0,38.0,41.0,23.0,10.0,4.0,5.0,8.0,7.0,5.0,2.0,4.0,3.0,6.0,12.0,6.0,119.0,151.0,132.0,133.0,126.0,174.0,168.0,169.0,63.0,30.0,45.0,48.0,38.0,35.0,42.0,60.0,50.0,45.0,31.0,15.0,15.0,28.0,34.0,20.0,16.0,31.0,29.0,34.0,7.0,6.0,320.0,342.0,306.0,309.0,321.0,380.0,339.0,355.0,197.0,85.0
4,10011,155.0,229.0,224.0,253.0,339.0,317.0,222.0,240.0,209.0,131.0,653.0,778.0,802.0,744.0,829.0,803.0,725.0,689.0,382.0,191.0,1.0,,,,,,,,22.0,31.0,28.0,21.0,18.0,14.0,11.0,23.0,17.0,3.0,20.0,32.0,31.0,20.0,22.0,24.0,12.0,22.0,15.0,7.0,316.0,349.0,382.0,375.0,369.0,363.0,319.0,305.0,264.0,146.0,155.0,206.0,227.0,231.0,245.0,244.0,220.0,236.0,194.0,94.0,54.0,88.0,67.0,88.0,94.0,90.0,78.0,74.0,64.0,34.0,1273.0,1521.0,1475.0,1584.0,1790.0,1745.0,1504.0,1477.0,1087.0,597.0
5,11229,11.0,14.0,33.0,17.0,19.0,39.0,23.0,32.0,16.0,4.0,140.0,86.0,130.0,110.0,190.0,182.0,219.0,149.0,50.0,28.0,,1.0,,,,,,,8.0,8.0,9.0,11.0,8.0,10.0,7.0,9.0,4.0,,2.0,3.0,4.0,3.0,1.0,9.0,6.0,2.0,2.0,,89.0,74.0,84.0,66.0,97.0,115.0,114.0,102.0,34.0,24.0,29.0,32.0,28.0,21.0,26.0,46.0,55.0,37.0,8.0,7.0,12.0,13.0,11.0,13.0,26.0,43.0,37.0,25.0,3.0,1.0,222.0,173.0,202.0,225.0,287.0,303.0,322.0,228.0,89.0,44.0
6,10014,30.0,41.0,38.0,40.0,49.0,61.0,67.0,70.0,63.0,25.0,192.0,238.0,230.0,244.0,241.0,231.0,263.0,276.0,148.0,77.0,,,,2.0,1.0,,,,6.0,11.0,6.0,8.0,2.0,7.0,4.0,6.0,2.0,2.0,8.0,9.0,8.0,9.0,4.0,7.0,7.0,12.0,4.0,1.0,94.0,86.0,107.0,106.0,98.0,93.0,104.0,105.0,86.0,42.0,41.0,52.0,46.0,78.0,57.0,57.0,84.0,76.0,64.0,26.0,19.0,30.0,19.0,10.0,23.0,26.0,31.0,36.0,22.0,7.0,339.0,428.0,386.0,421.0,399.0,456.0,493.0,432.0,321.0,139.0
7,10278,70.0,74.0,47.0,49.0,50.0,62.0,52.0,31.0,35.0,19.0,228.0,219.0,221.0,268.0,230.0,231.0,237.0,194.0,100.0,47.0,,,1.0,,,,,,2.0,5.0,5.0,6.0,8.0,8.0,10.0,7.0,2.0,3.0,4.0,7.0,3.0,5.0,5.0,4.0,5.0,7.0,3.0,3.0,103.0,86.0,94.0,96.0,90.0,100.0,114.0,102.0,70.0,43.0,50.0,73.0,62.0,55.0,45.0,66.0,63.0,45.0,47.0,20.0,15.0,13.0,16.0,21.0,21.0,20.0,18.0,10.0,10.0,11.0,428.0,392.0,376.0,456.0,427.0,444.0,415.0,336.0,253.0,142.0
8,10001,283.0,434.0,485.0,536.0,533.0,569.0,564.0,515.0,561.0,303.0,535.0,600.0,729.0,792.0,778.0,757.0,668.0,622.0,329.0,210.0,,,,,1.0,,,,11.0,9.0,10.0,10.0,15.0,15.0,4.0,5.0,1.0,3.0,9.0,13.0,21.0,12.0,8.0,6.0,11.0,17.0,8.0,5.0,219.0,237.0,273.0,283.0,324.0,322.0,251.0,245.0,195.0,104.0,164.0,193.0,230.0,256.0,275.0,246.0,226.0,197.0,167.0,94.0,80.0,109.0,85.0,108.0,112.0,118.0,95.0,107.0,71.0,44.0,1120.0,1386.0,1656.0,1841.0,1843.0,1819.0,1681.0,1546.0,1309.0,730.0
9,10167,168.0,188.0,190.0,256.0,240.0,201.0,201.0,191.0,256.0,168.0,171.0,183.0,193.0,228.0,194.0,135.0,119.0,145.0,138.0,59.0,1.0,,,1.0,,,,,,1.0,,,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,,,1.0,,,2.0,1.0,,52.0,51.0,49.0,75.0,66.0,55.0,46.0,49.0,52.0,17.0,63.0,74.0,96.0,115.0,97.0,69.0,42.0,61.0,76.0,49.0,43.0,60.0,44.0,57.0,29.0,22.0,31.0,33.0,18.0,15.0,372.0,443.0,460.0,540.0,484.0,401.0,348.0,372.0,435.0,266.0
10,10103,187.0,220.0,287.0,283.0,325.0,324.0,361.0,288.0,311.0,166.0,219.0,299.0,283.0,303.0,283.0,316.0,288.0,283.0,163.0,69.0,,,,1.0,,,,,3.0,3.0,3.0,,1.0,1.0,3.0,1.0,,1.0,3.0,3.0,9.0,1.0,4.0,1.0,3.0,2.0,8.0,2.0,72.0,95.0,88.0,128.0,135.0,137.0,145.0,105.0,86.0,31.0,68.0,86.0,111.0,97.0,125.0,109.0,118.0,90.0,71.0,30.0,48.0,68.0,75.0,58.0,81.0,56.0,73.0,56.0,51.0,17.0,549.0,649.0,692.0,690.0,723.0,767.0,696.0,653.0,541.0,288.0
11,11362,,3.0,2.0,1.0,,,4.0,2.0,,,14.0,22.0,20.0,13.0,11.0,20.0,21.0,11.0,7.0,7.0,,,,,1.0,,,,1.0,2.0,5.0,2.0,2.0,3.0,1.0,2.0,3.0,,5.0,2.0,3.0,,1.0,1.0,1.0,,,,14.0,21.0,21.0,16.0,28.0,34.0,19.0,11.0,3.0,2.0,5.0,8.0,5.0,3.0,8.0,7.0,3.0,4.0,2.0,1.0,10.0,5.0,6.0,5.0,5.0,10.0,2.0,2.0,3.0,,23.0,32.0,36.0,24.0,23.0,34.0,34.0,19.0,9.0,4.0
