,zip1,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2010_cat,2011_cat,2012_cat,2013_cat,2014_cat,2015_cat,2016_cat,2017_cat,2018_cat,2019_cat
0,11205,11853771.0,32664531.0,45805345.0,41154263.0,43415892.0,42804077.0,60287561.0,37181479.0,102120588.0,14981645.0,fair,good,excellent,good,good,good,good,good,excellent,good
1,11236,40330242.0,5267639.0,9433960.0,9548959.0,20356622.0,27257422.0,25559889.0,22777517.0,51267045.0,6713541.0,excellent,poor,fair,fair,fair,good,fair,fair,excellent,fair
2,10309,4506945.0,4838367.0,9901034.0,11169400.0,12749232.0,14235184.0,12974886.0,11452456.0,5414469.0,1828653.0,poor,poor,fair,fair,fair,fair,fair,poor,poor,poor
3,11106,12526065.0,27181064.0,24357809.0,16974869.0,45054462.0,64665787.0,74437884.0,50701482.0,28807658.0,15440230.0,fair,good,good,fair,good,excellent,excellent,good,good,good
4,11351,2194490.0,1081853.0,841610.0,2280837.0,3462702.0,2679031.0,1629856.0,1388696.0,1539958.0,175778.0,poor,poor,poor,poor,poor,poor,poor,poor,poor,poor
5,10110,177294313.0,206496666.0,252215178.0,242208898.0,251307909.0,373399314.0,317654569.0,293652264.0,309845286.0,157438570.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
6,10805,,475000.0,94000.0,30800.0,,263884.0,,,60000.0,,poor,poor,poor,poor,poor,poor,poor,poor,poor,poor
7,11218,16099226.0,26231160.0,31524757.0,42202187.0,22432802.0,30798585.0,50848753.0,34594512.0,19573818.0,14023930.0,fair,good,good,good,fair,good,good,good,fair,good
8,10452,17090208.0,10610824.0,20452813.0,30353555.0,22520064.0,23030654.0,35487502.0,11904157.0,45589417.0,5593401.0,good,fair,good,good,good,fair,good,poor,good,fair
9,11428,3429154.0,2220646.0,3705077.0,3111896.0,2378454.0,2838272.0,4132385.0,8340961.0,2912600.0,394820.0,poor,poor,poor,poor,poor,poor,poor,poor,poor,poor
10,11237,22508650.0,43973821.0,44100710.0,55964782.0,66832483.0,85436812.0,114147606.0,68211535.0,46576019.0,23084727.0,good,excellent,excellent,excellent,excellent,excellent,excellent,excellent,good,good
11,11379,5936641.0,7780882.0,19494742.0,7840213.0,7993092.0,8190393.0,31488145.0,8378304.0,30287437.0,1735591.0,poor,fair,good,poor,poor,poor,good,poor,good,poor
12,10803,4500.0,163000.0,225705.0,26000.0,8000.0,26375.0,113025.0,86046.0,91837.0,0.0,poor,poor,poor,poor,poor,poor,poor,poor,poor,poor
13,11364,4500596.0,5383662.0,5392621.0,9180849.0,9613090.0,9293555.0,8892998.0,18184698.0,2213860.0,6554588.0,poor,poor,poor,poor,poor,poor,poor,fair,poor,fair
14,11109,12278141.0,10737760.0,10816698.0,23420117.0,19612810.0,16238404.0,25494320.0,46943491.0,20182050.0,8030211.0,fair,fair,fair,good,fair,fair,fair,good,good,fair
15,10012,100224183.0,140865348.0,150205938.0,180611282.0,247771435.0,246515968.0,225078255.0,189115881.0,242714710.0,108777672.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
16,11001,129020.0,567175.0,691470.0,211300.0,622608.0,1137873.0,607089.0,871573.0,30000.0,37450.0,poor,poor,poor,poor,poor,poor,poor,poor,poor,poor
17,11385,30118627.0,3659086.0,5488662.0,13098104.0,10813960.0,12345196.0,9594044.0,11917046.0,6107359.0,6234323.0,good,poor,poor,fair,poor,fair,poor,poor,poor,fair
18,11238,29993901.0,44734602.0,81462644.0,41069769.0,84296574.0,57642812.0,74004787.0,85403305.0,28795805.0,24608030.0,good,excellent,excellent,good,excellent,good,excellent,excellent,good,good
19,10039,15628697.0,23404653.0,10416955.0,15432770.0,28246113.0,33567702.0,26828998.0,14260904.0,19998071.0,5763198.0,fair,good,fair,fair,good,good,good,fair,fair,fair
20,11427,2192109.0,3553833.0,5361515.0,5290859.0,5385640.0,6153066.0,6241233.0,13263816.0,2577336.0,1519684.0,poor,poor,poor,poor,poor,poor,poor,fair,poor,poor
21,11367,27787447.0,17700017.0,7877533.0,11141281.0,63272146.0,64311566.0,17921277.0,11589688.0,24885519.0,8969763.0,good,good,fair,fair,excellent,excellent,fair,poor,good,good
22,10038,12111033.0,18014418.0,47141985.0,80925040.0,37449896.0,45749927.0,40751238.0,71768113.0,39540243.0,19068920.0,fair,good,excellent,excellent,good,good,good,excellent,good,good
23,10152,54995404.0,84658386.0,52780861.0,83844730.0,59774436.0,68830494.0,96859205.0,135684159.0,118822036.0,62888640.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
24,10470,8611462.0,9596276.0,5324485.0,11425098.0,8454033.0,15010479.0,8374470.0,6299704.0,9643150.0,912876.0,fair,fair,poor,fair,poor,fair,poor,poor,fair,poor
25,10009,26169340.0,47185706.0,56557929.0,45814146.0,61925233.0,78869115.0,74863502.0,76160120.0,63715240.0,39753160.0,good,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
26,11355,48382799.0,32468757.0,24333214.0,29828172.0,41277151.0,69223592.0,61959382.0,33800871.0,27885380.0,9805566.0,excellent,good,good,good,good,excellent,good,good,good,good
27,10464,4890276.0,1165881.0,534960.0,1172154.0,1998736.0,978307.0,761905.0,817532.0,213635.0,233497.0,poor,poor,poor,poor,poor,poor,poor,poor,poor,poor
28,11239,13909266.0,6315686.0,13692777.0,4992967.0,11510957.0,13689131.0,4188129.0,22395354.0,8263841.0,5952880.0,fair,fair,fair,poor,fair,fair,poor,fair,fair,fair
29,11213,18535077.0,10558652.0,17623331.0,19013979.0,23940228.0,38984305.0,49806168.0,40669509.0,20476852.0,20716738.0,good,fair,fair,good,good,good,good,good,good,good
30,11357,4851837.0,8051927.0,10052946.0,39426611.0,13982052.0,18573129.0,14789575.0,16026702.0,5357588.0,1427912.0,poor,fair,fair,good,fair,fair,fair,fair,poor,poor
31,10457,14349361.0,16583801.0,23639337.0,18911519.0,35737310.0,33622784.0,25585543.0,17634648.0,24256806.0,5045920.0,fair,good,good,good,good,good,fair,fair,good,fair
32,10475,11981348.0,10493734.0,6058669.0,10726732.0,13067364.0,13107987.0,11474599.0,9625570.0,15566231.0,18735747.0,fair,fair,poor,fair,fair,fair,poor,poor,fair,good
33,11214,9552483.0,12780531.0,24847407.0,17331700.0,12792303.0,17422431.0,13850026.0,18965696.0,24077693.0,3864165.0,fair,fair,good,fair,fair,fair,fair,fair,good,fair
34,11226,18915579.0,20899738.0,21840978.0,31593717.0,31813204.0,18979312.0,38745070.0,33987075.0,22815298.0,12661858.0,good,good,good,good,good,fair,good,good,good,good
35,11224,29418905.0,26062189.0,23237864.0,31126970.0,35695097.0,73655668.0,30703174.0,61510886.0,90147359.0,6488568.0,good,good,good,good,good,excellent,good,excellent,excellent,fair
36,11221,20775140.0,14197513.0,18153795.0,34010956.0,55287466.0,67650561.0,48002145.0,43548427.0,26236316.0,3734325.0,good,fair,good,good,excellent,excellent,good,good,good,fair
37,11414,4337176.0,1935050.0,3940076.0,3763322.0,9606184.0,7313703.0,7783391.0,8764949.0,1371739.0,937502.0,poor,poor,poor,poor,poor,poor,poor,poor,poor,poor
38,11435,8594274.0,18742813.0,13119316.0,10790955.0,8698331.0,45875492.0,91081664.0,25634341.0,15574242.0,3350666.0,fair,good,fair,fair,poor,good,excellent,good,fair,fair
39,10011,146871745.0,224793646.0,221807284.0,323941465.0,333337471.0,417360665.0,243194230.0,276382847.0,271042734.0,172823946.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
40,11231,32365034.0,34211428.0,40190886.0,40465223.04,56111973.0,83983764.0,78727709.0,59380018.0,228127867.0,30652223.0,good,good,good,good,excellent,excellent,excellent,excellent,excellent,excellent
41,,6807462.0,5579552.0,33839042.0,15551068.0,8430210.0,9417878.0,15665581.0,649085122.0,2218029626.0,1311158904.0,poor,poor,good,fair,poor,poor,fair,excellent,excellent,excellent
42,11004,71012393.0,21519721.0,21795842.0,10628816.0,10584146.0,10659017.0,9944987.0,21792124.0,4893468.0,15980892.0,excellent,good,good,fair,poor,fair,poor,fair,poor,good
43,10171,57389564.0,70249171.0,71591906.0,56220086.0,109288900.0,100134430.0,77102589.0,71183251.0,75813754.0,31117166.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
44,10473,19060154.0,19414726.0,6681202.0,7186180.0,26339224.0,16966731.0,26197038.0,15963637.0,19236308.0,9495337.0,good,good,fair,poor,good,fair,good,fair,fair,good
