,zip1,2010_modify_cnt,2011_modify_cnt,2012_modify_cnt,2013_modify_cnt,2014_modify_cnt,2015_modify_cnt,2016_modify_cnt,2017_modify_cnt,2018_modify_cnt,2019_modify_cnt,2010_install_cnt,2011_install_cnt,2012_install_cnt,2013_install_cnt,2014_install_cnt,2015_install_cnt,2016_install_cnt,2017_install_cnt,2018_install_cnt,2019_install_cnt,2010_new_cnt,2011_new_cnt,2012_new_cnt,2013_new_cnt,2014_new_cnt,2015_new_cnt,2016_new_cnt,2017_new_cnt,2018_new_cnt,2019_new_cnt,2010_demolition_cnt,2011_demolition_cnt,2012_demolition_cnt,2013_demolition_cnt,2014_demolition_cnt,2015_demolition_cnt,2016_demolition_cnt,2017_demolition_cnt,2018_demolition_cnt,2019_demolition_cnt,2010_no_change_cnt,2011_no_change_cnt,2012_no_change_cnt,2013_no_change_cnt,2014_no_change_cnt,2015_no_change_cnt,2016_no_change_cnt,2017_no_change_cnt,2018_no_change_cnt,2019_no_change_cnt,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2010_cat,2011_cat,2012_cat,2013_cat,2014_cat,2015_cat,2016_cat,2017_cat,2018_cat,2019_cat
0,11205,4.0,4.0,8.0,9.0,9.0,12.0,15.0,21.0,12.0,11.0,175.0,207.0,170.0,166.0,188.0,249.0,292.0,210.0,99.0,39.0,91.0,97.0,80.0,92.0,82.0,99.0,93.0,78.0,58.0,17.0,5.0,5.0,11.0,11.0,12.0,20.0,17.0,12.0,2.0,,214.0,271.0,221.0,226.0,232.0,291.0,374.0,296.0,126.0,55.0,11853771.0,32664531.0,45805345.0,41154263.0,43415892.0,42804077.0,60287561.0,37181479.0,102120588.0,14981645.0,fair,good,excellent,good,good,good,good,good,excellent,good
1,11236,2.0,3.0,5.0,10.0,7.0,12.0,8.0,8.0,3.0,2.0,74.0,77.0,72.0,62.0,90.0,124.0,173.0,96.0,29.0,9.0,44.0,27.0,33.0,38.0,34.0,40.0,41.0,36.0,22.0,9.0,4.0,1.0,10.0,9.0,7.0,6.0,8.0,5.0,,2.0,120.0,113.0,86.0,92.0,110.0,166.0,190.0,114.0,75.0,22.0,40330242.0,5267639.0,9433960.0,9548959.0,20356622.0,27257422.0,25559889.0,22777517.0,51267045.0,6713541.0,excellent,poor,fair,fair,fair,good,fair,fair,excellent,fair
2,10309,8.0,9.0,4.0,7.0,6.0,2.0,11.0,6.0,5.0,,49.0,48.0,50.0,87.0,147.0,168.0,141.0,104.0,35.0,13.0,60.0,58.0,32.0,54.0,57.0,38.0,44.0,48.0,24.0,3.0,14.0,20.0,23.0,13.0,12.0,14.0,16.0,13.0,,,43.0,39.0,36.0,84.0,145.0,148.0,127.0,84.0,31.0,12.0,4506945.0,4838367.0,9901034.0,11169400.0,12749232.0,14235184.0,12974886.0,11452456.0,5414469.0,1828653.0,poor,poor,fair,fair,fair,fair,fair,poor,poor,poor
3,11106,2.0,16.0,7.0,7.0,13.0,11.0,20.0,11.0,23.0,7.0,154.0,137.0,165.0,164.0,241.0,276.0,187.0,146.0,59.0,36.0,53.0,56.0,79.0,68.0,82.0,93.0,78.0,51.0,33.0,25.0,12.0,15.0,13.0,16.0,30.0,31.0,21.0,5.0,6.0,,197.0,190.0,211.0,207.0,318.0,356.0,260.0,197.0,96.0,61.0,12526065.0,27181064.0,24357809.0,16974869.0,45054462.0,64665787.0,74437884.0,50701482.0,28807658.0,15440230.0,fair,good,good,fair,good,excellent,excellent,good,good,good
4,11351,,1.0,,1.0,2.0,3.0,3.0,1.0,1.0,1.0,21.0,20.0,12.0,15.0,13.0,15.0,16.0,19.0,3.0,1.0,16.0,14.0,7.0,9.0,7.0,3.0,7.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,,2.0,4.0,,,,32.0,26.0,24.0,25.0,23.0,35.0,29.0,24.0,14.0,6.0,2194490.0,1081853.0,841610.0,2280837.0,3462702.0,2679031.0,1629856.0,1388696.0,1539958.0,175778.0,poor,poor,poor,poor,poor,poor,poor,poor,poor,poor
5,10110,313.0,409.0,418.0,373.0,437.0,499.0,519.0,483.0,441.0,265.0,419.0,384.0,431.0,399.0,425.0,498.0,456.0,376.0,265.0,150.0,152.0,125.0,144.0,162.0,168.0,166.0,165.0,164.0,154.0,75.0,76.0,79.0,97.0,97.0,72.0,93.0,93.0,68.0,56.0,38.0,940.0,1042.0,1114.0,990.0,1113.0,1228.0,1288.0,1124.0,951.0,516.0,177294313.0,206496666.0,252215178.0,242208898.0,251307909.0,373399314.0,317654569.0,293652264.0,309845286.0,157438570.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
6,11218,1.0,6.0,5.0,8.0,12.0,17.0,21.0,17.0,10.0,3.0,93.0,144.0,137.0,133.0,157.0,156.0,176.0,153.0,57.0,31.0,60.0,76.0,83.0,86.0,87.0,101.0,98.0,97.0,43.0,27.0,8.0,7.0,12.0,9.0,16.0,31.0,18.0,9.0,5.0,2.0,187.0,252.0,235.0,217.0,250.0,316.0,332.0,266.0,125.0,60.0,16099226.0,26231160.0,31524757.0,42202187.0,22432802.0,30798585.0,50848753.0,34594512.0,19573818.0,14023930.0,fair,good,good,good,fair,good,good,good,fair,good
7,10452,3.0,2.0,7.0,3.0,5.0,5.0,4.0,12.0,5.0,,103.0,108.0,123.0,114.0,139.0,161.0,127.0,106.0,48.0,11.0,46.0,47.0,63.0,62.0,58.0,62.0,51.0,56.0,27.0,8.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,10.0,4.0,1.0,154.0,151.0,169.0,144.0,165.0,217.0,204.0,155.0,88.0,26.0,17090208.0,10610824.0,20452813.0,30353555.0,22520064.0,23030654.0,35487502.0,11904157.0,45589417.0,5593401.0,good,fair,good,good,good,fair,good,poor,good,fair
8,11428,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,,,31.0,20.0,33.0,15.0,22.0,31.0,75.0,60.0,6.0,6.0,18.0,11.0,27.0,13.0,19.0,19.0,20.0,17.0,7.0,4.0,3.0,5.0,2.0,5.0,2.0,1.0,1.0,1.0,3.0,,40.0,39.0,48.0,45.0,36.0,40.0,83.0,74.0,19.0,10.0,3429154.0,2220646.0,3705077.0,3111896.0,2378454.0,2838272.0,4132385.0,8340961.0,2912600.0,394820.0,poor,poor,poor,poor,poor,poor,poor,poor,poor,poor
9,11237,6.0,10.0,16.0,13.0,12.0,12.0,22.0,12.0,11.0,6.0,203.0,162.0,193.0,215.0,295.0,423.0,441.0,363.0,150.0,64.0,125.0,116.0,137.0,146.0,185.0,213.0,254.0,198.0,113.0,59.0,3.0,8.0,8.0,19.0,43.0,52.0,71.0,58.0,4.0,1.0,303.0,272.0,316.0,358.0,423.0,644.0,663.0,544.0,232.0,91.0,22508650.0,43973821.0,44100710.0,55964782.0,66832483.0,85436812.0,114147606.0,68211535.0,46576019.0,23084727.0,good,excellent,excellent,excellent,excellent,excellent,excellent,excellent,good,good
