boro,boro_name,postcode,avg_growth,categorization,10_11growth,10_11_cat,11_12growth,11_12_cat,12_13growth,12_13_cat,13_14growth,13_14_cat,14_15growth,14_15_cat,15_16growth,15_16_cat,16_17growth,16_17_cat,17_18growth,17_18_cat,_c0,2010_modify_cnt,2011_modify_cnt,2012_modify_cnt,2013_modify_cnt,2014_modify_cnt,2015_modify_cnt,2016_modify_cnt,2017_modify_cnt,2018_modify_cnt,2019_modify_cnt,2010_install_cnt,2011_install_cnt,2012_install_cnt,2013_install_cnt,2014_install_cnt,2015_install_cnt,2016_install_cnt,2017_install_cnt,2018_install_cnt,2019_install_cnt,2010_new_cnt,2011_new_cnt,2012_new_cnt,2013_new_cnt,2014_new_cnt,2015_new_cnt,2016_new_cnt,2017_new_cnt,2018_new_cnt,2019_new_cnt,2010_demolition_cnt,2011_demolition_cnt,2012_demolition_cnt,2013_demolition_cnt,2014_demolition_cnt,2015_demolition_cnt,2016_demolition_cnt,2017_demolition_cnt,2018_demolition_cnt,2019_demolition_cnt,2010_no_change_cnt,2011_no_change_cnt,2012_no_change_cnt,2013_no_change_cnt,2014_no_change_cnt,2015_no_change_cnt,2016_no_change_cnt,2017_no_change_cnt,2018_no_change_cnt,2019_no_change_cnt,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2010_cat,2011_cat,2012_cat,2013_cat,2014_cat,2015_cat,2016_cat,2017_cat,2018_cat,2019_cat,2010_job_time,2011_job_time,2012_job_time,2013_job_time,2014_job_time,2015_job_time,2016_job_time,2017_job_time,2018_job_time,2019_job_time
3,Brooklyn,11249,0.2853149888541517,excellent,0.2270678372865526,excellent,0.3323980492177109,excellent,0.144758045180519,excellent,0.07400209032088019,excellent,0.5054105281264072,excellent,0.13990626018049368,good,0.7283841514875876,excellent,0.1620503091256076,excellent,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",67.66117259455224,103.37511730769239,23.31435986257647,19.169920346719326,17.08316175529133,20.06963525935057,15.510066327566612,10.63040974017646,9.038608897755536,5.255026198660059
4,Queens,11354,0.2632505401121272,excellent,0.0408780745693358,good,0.024295142637567328,good,0.006778016280423203,fair,0.02795020811371357,poor,0.07812939618505642,fair,0.09648945728218444,fair,0.06760696918203074,fair,0.3161560309883874,excellent,135,12.0,11.0,13.0,5.0,10.0,8.0,17.0,46.0,80.0,23.0,125.0,119.0,145.0,172.0,106.0,163.0,169.0,161.0,100.0,43.0,91.0,82.0,83.0,98.0,93.0,80.0,85.0,67.0,48.0,17.0,12.0,18.0,21.0,20.0,26.0,45.0,17.0,28.0,12.0,5.0,251.0,222.0,222.0,263.0,187.0,240.0,266.0,276.0,205.0,79.0,17441365.0,13224997.0,15941926.0,18366875.0,25446492.0,19651337.0,26522783.0,32185237.0,15310583.0,15336887.0,good,fair,fair,good,good,fair,good,good,fair,good,22.752975555535503,22.825373752378685,20.0429376169506,21.76649229468791,24.129304170896983,24.599044099439528,20.44670863388189,15.082427121467864,12.02328000568511,6.012977717964095
4,Queens,11101,0.25703302218613533,excellent,0.12149591126347357,excellent,-0.004272081806905325,poor,0.16137739364145195,excellent,0.06654326170356992,good,0.08307552466691266,good,0.15195540126304272,excellent,0.11164104636458054,good,0.26492516175498193,excellent,170,18.0,19.0,18.0,27.0,26.0,42.0,50.0,59.0,37.0,17.0,82.0,89.0,91.0,116.0,132.0,185.0,181.0,153.0,109.0,55.0,38.0,50.0,50.0,55.0,60.0,95.0,94.0,64.0,56.0,21.0,1.0,13.0,7.0,19.0,22.0,18.0,17.0,19.0,13.0,4.0,113.0,121.0,116.0,169.0,181.0,240.0,249.0,213.0,135.0,76.0,165698789.0,25434047.0,66478721.0,37392591.0,18030055.0,72366943.0,32763753.0,47459040.0,34184398.0,51611015.0,excellent,good,excellent,good,fair,excellent,good,good,good,excellent,25.76653386780412,19.654266608952536,21.060333544977578,19.245767166319283,19.788433059077065,16.992081573649187,13.724370006253874,12.601453892755814,9.382647084309482,4.948619206456771
1,Manhattan,10039,0.251483331301342,excellent,1.2637480661985478,excellent,0.13320959607122201,excellent,0.08193967687983329,excellent,0.03628981376566955,fair,0.08508335753124267,good,0.0874813237451678,fair,0.10679923526426946,good,0.11048100846403383,good,18,3.0,1.0,3.0,6.0,8.0,7.0,12.0,7.0,5.0,1.0,104.0,103.0,67.0,89.0,144.0,130.0,110.0,101.0,27.0,14.0,44.0,44.0,39.0,61.0,73.0,59.0,53.0,52.0,31.0,11.0,2.0,5.0,1.0,1.0,4.0,5.0,2.0,2.0,4.0,1.0,154.0,134.0,95.0,120.0,201.0,236.0,171.0,158.0,144.0,53.0,15628697.0,23404653.0,10416955.0,15432770.0,28246113.0,33567702.0,26828998.0,14260904.0,19998071.0,5763198.0,fair,good,fair,fair,good,good,good,fair,fair,fair,17.871378978898576,13.186919220867143,11.149799752988624,14.586188016041456,12.980215278115285,13.891816246948277,9.818015836569916,9.505546289285979,8.383717965984484,6.806824183019747
3,Brooklyn,11238,0.18272176356820802,excellent,-0.0238351996430538,poor,0.09693397002759344,excellent,0.08331417123826801,excellent,0.14239620373782083,excellent,0.1280406441562516,excellent,0.23000035359971552,excellent,0.23303245245536197,excellent,0.19203301202042758,excellent,17,10.0,15.0,18.0,16.0,30.0,19.0,23.0,26.0,21.0,15.0,188.0,181.0,225.0,237.0,332.0,354.0,330.0,326.0,112.0,44.0,92.0,116.0,128.0,140.0,156.0,158.0,177.0,176.0,72.0,32.0,19.0,14.0,18.0,11.0,36.0,26.0,45.0,19.0,12.0,3.0,295.0,294.0,348.0,355.0,520.0,501.0,484.0,486.0,216.0,103.0,29993901.0,44734602.0,81462644.0,41069769.0,84296574.0,57642812.0,74004787.0,85403305.0,28795805.0,24608030.0,good,excellent,excellent,good,excellent,good,excellent,excellent,good,good,22.923712042584675,18.267234067374694,18.112262580900733,16.706202962251464,19.469495089285935,17.697407274157904,15.205458506216404,12.191606225851004,9.55291145649282,5.1711052946929215
3,Brooklyn,11201,0.15431844605445044,excellent,0.05852473806785725,good,-0.019079541802542344,poor,0.08025843597415495,excellent,0.12159560890174831,excellent,0.06952240327447272,fair,0.19668682962672285,excellent,0.19464886535218232,excellent,0.1925753308452308,excellent,86,34.0,46.0,65.0,84.0,143.0,101.0,120.0,137.0,125.0,71.0,273.0,314.0,365.0,413.0,474.0,462.0,492.0,377.0,209.0,84.0,119.0,121.0,145.0,168.0,202.0,167.0,185.0,184.0,142.0,49.0,26.0,20.0,35.0,50.0,47.0,51.0,42.0,40.0,31.0,15.0,498.0,558.0,595.0,649.0,756.0,793.0,781.0,689.0,470.0,220.0,79515808.0,131178086.0,138478852.0,108762384.0,173784679.0,221819468.0,198429755.0,255745405.0,478710976.0,114377686.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,20.86446265918194,20.613567603935657,18.856120148447815,18.14106064232999,18.789809640024927,17.85930183323628,16.32793943520855,12.450381638173587,11.023185810673198,4.846767324638189
3,Brooklyn,11205,0.14997851573883486,excellent,0.01423382050734489,fair,0.049288292233761924,excellent,0.041981073959248515,excellent,0.09124228518680462,excellent,0.12143696748715875,excellent,0.2455130455535763,excellent,0.16872011430565742,excellent,0.14639986854577258,excellent,0,4.0,4.0,8.0,9.0,9.0,12.0,15.0,21.0,12.0,11.0,175.0,207.0,170.0,166.0,188.0,249.0,292.0,210.0,99.0,39.0,91.0,97.0,80.0,92.0,82.0,99.0,93.0,78.0,58.0,17.0,5.0,5.0,11.0,11.0,12.0,20.0,17.0,12.0,2.0,"",214.0,271.0,221.0,226.0,232.0,291.0,374.0,296.0,126.0,55.0,11853771.0,32664531.0,45805345.0,41154263.0,43415892.0,42804077.0,60287561.0,37181479.0,102120588.0,14981645.0,fair,good,excellent,good,good,good,good,good,excellent,good,23.99764655410321,19.03403592054334,22.478978673908987,17.476110439582612,18.466367472915053,15.76959556580992,12.1730949766997,11.011752149650572,8.474820347327656,5.329701766511789
3,Brooklyn,11222,0.14970528361140104,excellent,0.046017705717209055,good,0.02511581028926934,good,0.004565958896713811,fair,0.11432178141831716,excellent,0.08526966215072662,good,0.2705518944855561,excellent,0.24339303722517683,excellent,0.24010311881356206,excellent,96,9.0,6.0,9.0,26.0,12.0,13.0,25.0,11.0,10.0,7.0,177.0,157.0,163.0,195.0,237.0,272.0,274.0,253.0,100.0,46.0,108.0,83.0,81.0,107.0,121.0,129.0,142.0,131.0,81.0,36.0,10.0,7.0,9.0,25.0,32.0,47.0,27.0,24.0,11.0,3.0,254.0,266.0,258.0,336.0,353.0,357.0,395.0,334.0,181.0,91.0,47579817.0,102666312.0,41430920.0,37229390.0,34195438.0,37840123.0,60530868.0,40937643.0,31320638.0,16751134.0,excellent,excellent,excellent,good,good,good,good,good,good,good,24.895652425184704,19.931353122453025,24.617953229480488,20.629744303518304,25.90014505285931,18.29347832957876,19.13720536936746,12.123337651188958,11.054668236944314,6.101779687792292
3,Brooklyn,11239,0.14700196120512307,excellent,0.014274994849112242,fair,0.0048274695724456335,poor,-0.009304785098261908,poor,0.03576108403050241,fair,0.036244675501947946,poor,0.18619802016985648,excellent,0.29745329055109454,excellent,0.1303198244222315,excellent,27,1.0,1.0,2.0,2.0,15.0,14.0,5.0,5.0,"",2.0,51.0,51.0,39.0,66.0,70.0,64.0,61.0,62.0,25.0,13.0,29.0,69.0,17.0,44.0,85.0,32.0,22.0,19.0,9.0,2.0,"",1.0,"",1.0,"","",6.0,1.0,"","",69.0,77.0,52.0,87.0,135.0,117.0,81.0,93.0,29.0,12.0,13909266.0,6315686.0,13692777.0,4992967.0,11510957.0,13689131.0,4188129.0,22395354.0,8263841.0,5952880.0,fair,fair,fair,poor,fair,fair,poor,fair,fair,fair,19.609591000469553,11.977227388939157,16.399487154407925,17.009572562834382,14.372080764088448,13.824275166311631,25.792765408538337,12.6827720087689,10.515153863939428,6.098838525177141
3,Brooklyn,11216,0.13975435186076843,excellent,-0.10102955979839678,poor,-0.03940391668123555,poor,0.03985669321668693,excellent,0.15803513212928005,excellent,0.18421005876227028,excellent,0.2469043614259226,excellent,0.24746213040906306,excellent,0.20523475437320313,excellent,49,4.0,3.0,1.0,6.0,6.0,10.0,8.0,9.0,7.0,1.0,135.0,104.0,125.0,172.0,209.0,266.0,324.0,228.0,69.0,31.0,65.0,95.0,85.0,105.0,119.0,162.0,189.0,117.0,46.0,11.0,24.0,8.0,11.0,13.0,20.0,31.0,30.0,11.0,8.0,3.0,182.0,165.0,216.0,260.0,316.0,378.0,485.0,336.0,127.0,55.0,16782548.0,12908795.0,26077811.0,30536657.0,41031447.0,61929838.0,83610148.0,38582757.0,27236365.0,14549043.0,good,fair,good,good,good,good,excellent,good,good,good,17.810131748552177,15.777032748811713,17.28239410834259,17.194234168151965,20.067661429158274,16.389586880846764,13.614822161708346,13.009199460042842,9.941508745302514,5.907343437795538
