boro,boro_name,postcode,avg_growth,categorization
3,Brooklyn,11249,0.2853149888541517,excellent
4,Queens,11354,0.2632505401121272,excellent
4,Queens,11101,0.25703302218613533,excellent
1,Manhattan,10039,0.251483331301342,excellent
3,Brooklyn,11238,0.18272176356820802,excellent
3,Brooklyn,11201,0.15431844605445044,excellent
3,Brooklyn,11205,0.14997851573883486,excellent
3,Brooklyn,11222,0.14970528361140104,excellent
3,Brooklyn,11239,0.14700196120512307,excellent
3,Brooklyn,11216,0.13975435186076843,excellent
1,Manhattan,10037,0.13804073112783707,excellent
1,Manhattan,10011,0.13646951055952755,excellent
2,Bronx,10454,0.13512987479980212,excellent
1,Manhattan,10010,0.13407540466631646,excellent
3,Brooklyn,11231,0.13362300618026768,excellent
3,Brooklyn,11211,0.13301088449380008,excellent
3,Brooklyn,11206,0.13299164032092506,excellent
1,Manhattan,10036,0.13120443496240214,excellent
2,Bronx,10451,0.1283186844515227,excellent
1,Manhattan,10032,0.12619602701745908,excellent
3,Brooklyn,11217,0.12537623778640147,excellent
3,Brooklyn,11221,0.12384590665743272,excellent
3,Brooklyn,11213,0.12334716150304806,excellent
1,Manhattan,10027,0.12003157064463746,excellent
1,Manhattan,10018,0.11763269609988941,excellent
2,Bronx,10455,0.11181729500108152,excellent
1,Manhattan,10007,0.1111727422611563,excellent
3,Brooklyn,11215,0.10932707547973607,excellent
3,Brooklyn,11225,0.10903716638643712,excellent
1,Manhattan,10001,0.10900680856587257,excellent
1,Manhattan,10013,0.10861050545404029,excellent
3,Brooklyn,11233,0.1072690184151862,excellent
3,Brooklyn,11237,0.10529217264202044,excellent
1,Manhattan,10006,0.10365762461900814,excellent
1,Manhattan,10012,0.10165955508151164,excellent
1,Manhattan,10009,0.09996458981876859,excellent
1,Manhattan,10002,0.09937405589077208,excellent
1,Manhattan,10031,0.09880376037488849,excellent
1,Manhattan,10033,0.09785084388534024,excellent
1,Manhattan,10003,0.0977913240139292,excellent
1,Manhattan,10014,0.09742625123032186,excellent
1,Manhattan,10026,0.09548144736664914,excellent
1,Manhattan,10162,0.0952559949610849,excellent
3,Brooklyn,11232,0.09451878820746074,excellent
1,Manhattan,10029,0.09343972194811132,excellent
1,Manhattan,10030,0.09125408067215195,excellent
3,Brooklyn,11219,0.09099931258622555,excellent
3,Brooklyn,11220,0.08953306899419927,excellent
3,Brooklyn,11226,0.08915280638924228,good
4,Queens,11102,0.08839546963849354,good
3,Brooklyn,11218,0.08653813252205517,good
4,Queens,11692,0.08601884337025938,good
1,Manhattan,10034,0.08561577076411651,good
3,Brooklyn,11224,0.08511438532041594,good
3,Brooklyn,11230,0.08493775896087921,good
1,Manhattan,10038,0.08117073951512027,good
2,Bronx,10456,0.08021475522456302,good
2,Bronx,10452,0.07934414434357127,good
2,Bronx,10457,0.07924341745788133,good
1,Manhattan,10025,0.07851991310749558,good
4,Queens,11104,0.07827033586351084,good
4,Queens,11372,0.0774537929774313,good
3,Brooklyn,11223,0.07743077753954428,good
3,Brooklyn,11235,0.07711448219100277,good
1,Manhattan,10069,0.07696019620729701,good
1,Manhattan,10024,0.07679252362920251,good
4,Queens,11106,0.07666791879819662,good
3,Brooklyn,11214,0.07619323899527614,good
3,Brooklyn,11204,0.07565951220428288,good
3,Brooklyn,11209,0.0753726743719979,good
2,Bronx,10460,0.07432532252445465,good
4,Queens,11377,0.07429466620658196,good
3,Brooklyn,11228,0.07339592236724425,good
4,Queens,11374,0.07279438048579173,good
2,Bronx,10458,0.07257199954230696,good
1,Manhattan,10040,0.07238416628678652,good
1,Manhattan,10035,0.07219109892973496,good
2,Bronx,10468,0.07199965366512431,good
1,Manhattan,10016,0.07197965878331324,good
4,Queens,11103,0.07126608023474928,good
3,Brooklyn,11251,0.07071681566082146,good
3,Brooklyn,11207,0.07069332100818161,good
1,Manhattan,10005,0.07001532622157876,good
1,Manhattan,10019,0.0696843671022934,good
4,Queens,11105,0.06964979331923499,good
