boro,boro_name,postcode,10_11growth,11_12growth,12_13growth,13_14growth,14_15growth,15_16growth,16_17growth,17_18growth
2,Bronx,10455,0.07049115,0.066317878,0.042194881,0.037130392,0.069583883,0.037934125,0.099612555,0.193237315
3,Brooklyn,11216,-0.10102956,-0.039403917,0.039856693,0.158035132,0.184210059,0.246904361,0.24746213,0.205234754
5,Staten Island,10301,-0.011197175,0.016527644,-0.001355919,0.002444151,0.056357201,0.063443382,0.065871402,0.111022579
1,Manhattan,10463,0.090255246,0.054730874,-0.027117118,-0.056901526,0.065582593,0.030201247,0.182323325,0.079122688
4,Queens,11419,-0.058298671,-0.006734934,0.007948928,0.043169164,0.096060056,0.095518175,0.046953823,0.098632232
3,Brooklyn,11416,-0.088897146,-0.080385703,-0.006269656,0.191421461,0.030299577,0.160052896,-0.12347115,0.214694552
4,Queens,11378,2.63E-04,0.028522788,0.017663837,0.064730745,0.093060302,0.12718706,0.059391684,0.11692804
1,Manhattan,10035,0.044668801,-0.081026013,0.006821862,0.012004921,0.109786618,0.143086609,0.126421954,0.179992613
4,Queens,11371,0.028616852,-0.114374034,0.094240838,0.089314195,0.200585652,-0.01097561,0.055487053,0.140186916
2,Bronx,10471,-0.02381276,0.024550635,-0.004934268,0.029257127,0.056411031,0.095346397,0.10171096,0.115599948
4,Queens,11435,-0.01555483,0.042141228,-0.002392955,0.028740313,0.08869971,0.111531967,0.058851158,0.106673014
1,Manhattan,10018,0.075978274,0.066916334,0.102638835,0.12224852,0.089523593,0.106140225,0.066830613,0.147993274
4,Queens,11103,0.025159913,0.020947851,0.024456203,0.06129138,0.09613,0.113276994,0.090086544,0.128508524
4,Queens,11429,-0.030924177,0.033217615,0.013497082,0.022317698,0.080782868,0.09398206,0.03367805,0.117577027
4,Queens,11423,0.003092052,0.015457467,-0.006137,0.040329296,0.093430553,0.07428514,0.044981995,0.09454656
5,Staten Island,10302,-0.053209818,0.019091648,-0.020215131,0.009297175,0.074042764,0.07498803,0.058257515,0.120154184
1,Manhattan,10075,0.19946168,-0.049433108,0.027129472,0.047842664,0.069428858,0.091741803,0.034088157,0.065980443
5,Staten Island,10305,0.017121318,9.00E-04,-0.07382957,0.02029422,0.036377853,0.079448609,0.091907856,0.129179975
3,Brooklyn,11249,0.227067837,0.332398049,0.144758045,0.07400209,0.505410528,0.13990626,0.728384151,0.162050309
3,Brooklyn,11232,-0.052372082,0.078594206,0.007466908,0.064360064,0.103183773,0.185429861,0.166402649,0.135386188
3,Brooklyn,11230,-0.018330685,0.03521203,0.036311956,0.080333531,0.070057901,0.170147791,0.121115419,0.13538267
1,Manhattan,10044,0.143310849,-0.087766515,0.015117506,-0.052894558,0.047180176,0.033345707,0.077478475,-0.018166733
3,Brooklyn,11219,-0.029865439,0.08371724,0.034604872,0.084052442,0.100167983,0.12363967,0.136179778,0.134322823
3,Brooklyn,11236,-0.018539549,0.009515095,-0.090627053,0.0299501,0.023890513,0.177244883,0.063371255,0.10084212
3,Brooklyn,11229,0.018882624,0.043568699,-0.056696759,0.044027549,0.035450833,0.197866072,0.121971393,0.088945272
3,Brooklyn,11217,-0.004315993,0.246691893,0.081623842,0.148787804,0.055673368,0.170317858,0.185983922,0.173850478
1,Manhattan,10012,0.052827952,0.064393272,0.044555449,0.153031491,0.090807129,0.122697165,0.091878146,0.106253479
3,Brooklyn,11218,-0.048917004,0.04857457,0.016924161,0.089726809,0.098195597,0.172527861,0.145894057,0.138527138
4,Queens,11361,0.03375578,0.017918399,0.011126611,0.065104727,0.074812323,0.113639736,0.040988487,0.096478271
4,Queens,11373,0.044628211,0.034215377,0.018821115,0.05268785,0.097217259,0.096122903,0.057178535,0.107114634
4,Queens,11413,2.73E-04,0.023664634,7.37E-04,0.03173426,0.074222294,0.074824744,0.036474719,0.094213307
3,Brooklyn,11222,0.046017706,0.02511581,0.004565959,0.114321781,0.085269662,0.270551894,0.243393037,0.240103119
3,Brooklyn,11223,3.79E-04,0.051810789,0.010598186,0.071026597,0.07076854,0.179802526,0.134645679,0.092341442
4,Queens,11004,0.038572642,0.034828336,-0.007383974,0.044774103,0.063799021,0.083260394,0.012620553,0.108841804
4,Queens,11355,0.07421433,0.032775937,0.026697343,0.047389119,0.077870071,0.085309998,0.061178733,0.101752617
3,Brooklyn,11242,0.021153846,0.035781544,-0.078181818,0,0,0.061143984,0.349442379,0.05922865
1,Manhattan,10128,0.123592758,-0.019976144,0.016062626,0.044291934,0.055386083,0.088660067,0.06289308,0.060763971
4,Queens,11385,0.039919068,0.062396665,-0.005203169,-0.001629989,0.097640691,0.136561175,0.094257312,0.117249312
2,Bronx,10468,0.021497075,0.039624312,0.03181217,0.049055805,0.088241179,0.103730452,0.073306169,0.137417479
3,Brooklyn,11224,0.006270876,0.155476306,-0.073054806,0.049487425,0.020684901,0.202866664,0.119896914,0.104418752
4,Queens,11370,0.030429663,0.014404762,0.008753131,0.057925885,0.087161632,0.114524158,0.041710282,0.130273371
1,Manhattan,10011,0.144439821,0.05795883,0.007735919,0.064140355,0.078475423,0.279144944,0.060931474,0.113082378
3,Brooklyn,11231,-0.022668095,0.074679723,0.040676992,0.122720082,0.073769344,0.140668562,0.189272628,0.18406736
4,Queens,11379,0.036117046,0.0100621,0.014904504,0.057642134,0.085392232,0.092422633,0.047319016,0.113134128
3,Brooklyn,11215,-2.78E-05,0.09208799,0.055272698,0.107750006,0.080369396,0.190756565,0.141541271,0.123816581
3,Brooklyn,11226,-0.027935985,0.055575586,0.048777936,0.064195493,0.090214704,0.171738593,0.148068095,0.123583819
3,Brooklyn,11210,-4.18E-04,0.017488708,0.01412041,0.073716897,0.062740263,0.103789076,0.112575831,0.081673886
4,Queens,11358,0.030120069,0.024872713,0.018899372,0.05571046,0.093352305,0.104017115,0.0379633,0.111845199
1,Manhattan,10005,0.176363695,0.028168371,-0.021254488,0.067246828,0.066076145,0.074100336,0.098715569,0.01413699
3,Brooklyn,11221,-0.035361532,-0.050352684,0.019421453,0.081739822,0.172713794,0.255563557,0.264413104,0.178922541
